X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.18681,25.72144,j574nh,LAF04145,NA,NA,na,25.721440000000001,-100.186809999999994,./0.png
-100.19474,25.7234,j579kx,LAF04145,NA,NA,na,25.723400000000002,-100.194739999999996,./0.png
-100.18748,25.72132,j588dm,LAF04145,NA,NA,na,25.721319999999999,-100.187479999999994,./0.png
-100.18996,25.72137,j61p89,LAF04145,NA,NA,na,25.721370000000000,-100.189959999999999,./0.png
-100.19608,25.71607,j62p17,LAF04145,NA,C5-SinSello,ok,25.716069999999998,-100.196079999999995,./0.png
-100.19447,25.71596,j63p44,LAF04145,NA,C5-SinSello,ok,25.715959999999999,-100.194469999999995,./0.png
-100.19696,25.71916,j63p55,LAF04145,NA,C5-SinSello,na,25.719159999999999,-100.196960000000004,./0.png
-100.21342,25.72398,j640kx,LAF04145,NA,C5-SinSello,na,25.723980000000001,-100.213419999999999,./0.png
-100.19655,25.72308,j64p24,LAF04145,NA,NA,ok,25.723080000000000,-100.196550000000002,./0.png
-100.19398,25.7166,j66p05,LAF04145,NA,C5-SinSello,ok,25.716600000000000,-100.193979999999996,./0.png
-100.1965,25.72347,j66p55,LAF04145,NA,NA,ok,25.723469999999999,-100.196500000000000,./0.png
-100.19565,25.71704,j67j14,LAF04145,NA,C5-SinSello,ok,25.717040000000001,-100.195650000000001,./0.png
-100.19376,25.71443,j67p19,LAF04145,NA,NA,ok,25.714430000000000,-100.193759999999997,./0.png
-100.19053,25.72252,j681kw,LAF04145,NA,NA,na,25.722519999999999,-100.190529999999995,./0.png
-100.20089,25.72406,j685ky,LAF04145,NA,NA,ok,25.724060000000001,-100.200890000000001,./0.png
-100.20262,25.71872,j688fl,LAF04145,NA,NA,ok,25.718720000000001,-100.202619999999996,./0.png
-100.19238,25.72833,j693df,LAF04145,NA,NA,na,25.728330000000000,-100.192380000000000,./0.png
-100.19641,25.7221,j69p79,LAF04145,NA,NA,ok,25.722100000000001,-100.196410000000000,./0.png
-100.19332,25.72726,j6l803,LAF04145,NA,C5-SinSello,na,25.727260000000001,-100.193320000000000,./0.png
-100.19376,25.7159,j71p06,LAF04145,NA,NA,ok,25.715900000000001,-100.193759999999997,./0.png
-100.19464,25.71513,j73j09,LAF04145,NA,NA,ok,25.715129999999998,-100.194640000000007,./0.png
-100.19433,25.71632,j73p90,LAF04145,NA,NA,ok,25.716320000000000,-100.194329999999994,./0.png
-100.19381,25.71587,j74j45,LAF04145,NA,C5-SinSello,ok,25.715869999999999,-100.193809999999999,./0.png
-100.19574,25.71559,j75j57,LAF04145,NA,NA,ok,25.715589999999999,-100.195740000000001,./0.png
-100.19522,25.71557,j75j64,LAF04145,NA,NA,ok,25.715570000000000,-100.195220000000006,./0.png
-100.19618,25.73016,j75p21,LAF04145,NA,NA,na,25.730160000000001,-100.196179999999998,./0.png
-100.19604,25.7199,j75p26,LAF04145,NA,C5-SinSello,na,25.719899999999999,-100.196039999999996,./0.png
-100.19611,25.72279,j763b6,LAF04145,NA,NA,na,25.722790000000000,-100.196110000000004,./0.png
-100.19396,25.71665,j769lb,LAF04145,NA,NA,ok,25.716650000000001,-100.193960000000004,./0.png
-100.19467,25.71601,j76p28,LAF04145,NA,NA,ok,25.716010000000001,-100.194670000000002,./0.png
-100.197,25.71823,j78p68,LAF04145,NA,C5-SinSello,na,25.718229999999998,-100.197000000000003,./0.png
-100.19456,25.71603,j78p76,LAF04145,NA,C5-SinSello,ok,25.716030000000000,-100.194559999999996,./0.png
-100.19378,25.72258,j802dm,LAF04145,NA,NA,na,25.722580000000001,-100.193780000000004,./0.png
-100.19357,25.72501,j803nf,LAF04145,NA,NA,na,25.725010000000001,-100.193569999999994,./0.png
-100.19465,25.71594,j81p87,LAF04145,NA,NA,ok,25.715940000000000,-100.194649999999996,./0.png
-100.19381,25.71557,j83j22,LAF04145,NA,C5-SinSello,ok,25.715570000000000,-100.193809999999999,./0.png
-100.19384,25.716,j84j82,LAF04145,NA,NA,ok,25.716000000000001,-100.193839999999994,./0.png
-100.19369,25.7155,j85h66,LAF04145,NA,NA,ok,25.715499999999999,-100.193690000000004,./0.png
-100.19543,25.71564,j85j34,LAF04145,NA,C5-SinSello,ok,25.715640000000000,-100.195430000000002,./0.png
-100.20296,25.71979,j865j4,LAF04145,NA,NA,ok,25.719790000000000,-100.202960000000004,./0.png
-100.18681,25.72024,j86j18,LAF04145,NA,NA,na,25.720240000000000,-100.186809999999994,./0.png
-100.19542,25.71563,j88j10,LAF04145,NA,C5-SinSello,ok,25.715630000000001,-100.195419999999999,./0.png
-100.19694,25.71734,j8d491,LAF04145,NA,NA,aro candado revisar a lado de ui,25.717340000000000,-100.196939999999998,./0.png
-100.19658,25.73054,j8d525,LAF04145,NA,NA,na,25.730540000000001,-100.196579999999997,./0.png
